userId,id,title,titleEng,completed
1,1,delectus aut autem,chosen or,FALSE
1,2,quis ut nam facilis et officia qui,who should be easy and whose duties,FALSE
1,3,fugiat veniam minus,let him flee less,FALSE
1,4,et porro tempora,and further times,TRUE
1,5,laboriosam mollitia et enim quasi adipisci quia provident illum,laborious resilience and in fact you seem to gain because they provide for it,FALSE
1,6,qui ullam ratione quibusdam voluptatem quia omnis,who for any reason gives pleasure to some because all,FALSE
1,7,illo expedita consequatur quia in,he will have an expedient result because in,FALSE
1,8,quo adipisci enim quam ut ab,for by which you can obtain it as from,TRUE
1,9,molestiae perspiciatis ipsa,the trouble itself is clear,FALSE
1,10,illo est ratione doloremque quia maiores aut,it is for that reason that the pain is because they are older or,TRUE
1,11,vero rerum temporibus dolor,But in the times of things there is pain,TRUE
1,12,ipsa repellendus fugit nisi,she flees unless she is repulsed,TRUE
1,13,et doloremque nulla,and no pain,FALSE
1,14,repellendus sunt dolores architecto voluptatum,pains must be repelled by the architect of pleasures,TRUE
1,15,ab voluptatum amet voluptas,from the pleasures of pleasure,TRUE
1,16,accusamus eos facilis sint et aut voluptatem,we accuse them of being easy and of pleasure,TRUE
1,17,quo laboriosam deleniti aut qui,or who,TRUE
1,18,dolorum est consequatur ea mollitia in culpa,the consequence of suffering is that resilience in guilt,FALSE
1,19,molestiae ipsa aut voluptatibus pariatur dolor nihil,Pain is nothing compared to discomfort itself or to pleasures,TRUE
1,20,ullam nobis libero sapiente ad optio sint,We have no free choice,TRUE
2,21,suscipit repellat esse quibusdam voluptatem incidunt,it takes and repulses to be a pleasure incident to some,FALSE
2,22,distinctio vitae autem nihil ut molestias quo,But the distinction of life is nothing like the trouble with which,TRUE
2,23,et itaque necessitatibus maxime molestiae qui quas velit,and therefore to the needs of the most trouble whoever wants them,FALSE
2,24,adipisci non ad dicta qui amet quaerat doloribus ea,do not get to the sayings who will seek them with pains,FALSE
2,25,voluptas quo tenetur perspiciatis explicabo natus,I will explain the pleasure to which it is bound to be born,TRUE
2,26,aliquam aut quasi,some sort of,TRUE
2,27,veritatis pariatur delectus,the choice of truth is born,TRUE
2,28,nesciunt totam sit blanditiis sit,they do not know that it is all flattery,FALSE
2,29,laborum aut in quam,or in which,FALSE
2,30,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,"no one repulses the unintelligent, so that pain is free from the flattery of all comforts",TRUE
2,31,repudiandae totam in est sint facere fuga,To reject the whole is to make a flight,FALSE
2,32,earum doloribus ea doloremque quis,Who cares for their pains and sufferings?,FALSE
2,33,sint sit aut vero,whether it be true or not,FALSE
2,34,porro aut necessitatibus eaque distinctio,"further, or by necessity, and that distinction",FALSE
2,35,repellendus veritatis molestias dicta incidunt,"to be repelled by the truth, the trouble said to occur",TRUE
2,36,excepturi deleniti adipisci voluptatem et neque optio illum ad,"You will receive the pleasure of the gentle, and there is no option for it",TRUE
2,37,sunt cum tempora,there are times when,FALSE
2,38,totam quia non,the whole because no,FALSE
2,39,doloremque quibusdam asperiores libero corrupti illum qui omnis,and the pain of some people is more severe than that of the free corrupt person who is all,FALSE
2,40,totam atque quo nesciunt,they do not know the whole and by what means,TRUE
3,41,aliquid amet impedit consequatur aspernatur placeat eaque fugiat suscipit,"something hinders the result, he is displeased, and he flees from it",FALSE
3,42,rerum perferendis error quia ut eveniet,the error of bearing things because it will happen,FALSE
3,43,tempore ut sint quis recusandae,at the time that they should be refused,TRUE
